Numero_unique_specimen,Numero_unique_tissu,Numero_unique_extrait
S_21_06000,T_21_06000,ARN_22_00001
S_21_06001,T_21_06001,ARN_22_00002
S_21_06002,T_21_06002,ARN_22_00003
S_21_06003,T_21_06003,ARN_22_00004
S_21_06004,T_21_06004,ARN_22_00005
S_21_06005,T_21_06005,ARN_22_00006
S_21_06006,T_21_06006,ARN_22_00007
S_21_06007,T_21_06007,ARN_22_00008
S_21_06008,T_21_06008,ARN_22_00009
S_21_06009,T_21_06009,ARN_22_00010
S_21_06010,T_21_06010,ARN_22_00011
S_21_06011,T_21_06011,ARN_22_00012
S_21_06012,T_21_06012,ARN_22_00013
S_21_06013,T_21_06013,ARN_22_00014
S_21_06014,T_21_06014,ARN_22_00015
S_21_06015,T_21_06015,ARN_22_00016
S_21_06016,T_21_06016,ARN_22_00017
S_21_06017,T_21_06017,ARN_22_00018
S_21_06018,T_21_06018,ARN_22_00019
S_21_06019,T_21_06019,ARN_22_00020
S_21_06020,T_21_06020,ARN_22_00021
S_21_06021,T_21_06021,ARN_22_00022
S_21_06022,T_21_06022,ARN_22_00023
S_21_06023,T_21_06023,ARN_22_00024
S_21_06024,T_21_06024,ARN_22_00025
S_21_06025,T_21_06025,ARN_22_00026
S_21_06026,T_21_06026,ARN_22_00027
S_21_06027,T_21_06027,ARN_22_00028
S_21_06028,T_21_06028,ARN_22_00029
S_21_06029,T_21_06029,ARN_22_00030
S_21_06030,T_21_06030,ARN_22_00031
S_21_06031,T_21_06031,ARN_22_00032
S_21_06032,T_21_06032,ARN_22_00033
S_21_06033,T_21_06033,ARN_22_00034
S_21_06034,T_21_06034,ARN_22_00035
S_21_06035,T_21_06035,ARN_22_00036
S_21_06036,T_21_06036,ARN_22_00037
S_21_06037,T_21_06037,ARN_22_00038
S_21_06038,T_21_06038,ARN_22_00039
S_21_06039,T_21_06039,ARN_22_00040
S_21_06040,T_21_06040,ARN_22_00041
S_21_06041,T_21_06041,ARN_22_00042
S_21_06042,T_21_06042,ARN_22_00043
S_21_06043,T_21_06043,ARN_22_00044
S_21_06044,T_21_06044,ARN_22_00045
S_21_06045,T_21_06045,ARN_22_00046
S_21_06046,T_21_06046,ARN_22_00047
S_21_06047,T_21_06047,ARN_22_00048
