TAG,tag,ID_lab,tank.exp,tank.sample,Temp.acclim,Delta.acclim,Time,pH.acclim,Temp.sample,Chang.aigu.Temp,length_f,weight,DatHr_euthan,deltaT.ARN
982.0910612,34114,S52,A1,A1,5,10mo,10mo,7.35,5,FAUX,235,221.09,44489.61,88
982.0910612,33982,S53,A1,A1,5,10mo,10mo,7.35,5,FAUX,232,234.24,44489.62,96
982.0910612,33929,S54,A1,A1,5,3mo,10mo,7.35,5,FAUX,200,147.68,44489.62,101
982.0910612,34478,S12,B1,A2,7.5,10mo,24h,7.75,5,VRAI,209,162.25,44489.43,112
982.0910612,33933,S10,A2,A2,5,10mo,10mo,7.75,5,FAUX,232,222.79,44489.43,88
982.0910612,34183,S11,A2,A2,5,10mo,10mo,7.75,5,FAUX,216,181.5,44489.43,91
982.0910612,33764,S09,A2,A2,5,10mo,10mo,7.75,5,FAUX,198,139.7,44489.42,115
982.0910612,33945,S07,B1,A2,7.5,3mo,24h,7.75,5,VRAI,230,212.99,44489.41,133
982.0910612,34009,S08,B1,A2,7.5,3mo,24h,7.75,5,VRAI,226,210.95,44489.42,107
982.0910612,34021,S03,A3,A3,5,10mo,10mo,7.75,5,FAUX,245,267.84,44489.38,170
982.0910612,34163,S06,A3,A3,5,10mo,10mo,7.75,5,FAUX,194,122.82,44489.4,119
982.0910612,33984,S01,B4,A3,7.5,3mo,24h,7.75,5,VRAI,210,161.44,44489.36,114
982.0910612,34245,S05,B4,A3,7.5,10mo,24h,7.75,5,VRAI,257,271.5,44489.39,125
982.0910612,34385,S04,B4,A3,7.5,3mo,24h,7.75,5,VRAI,230,216.97,44489.38,154
982.0910612,34195,S02,A3,A3,5,10mo,10mo,7.75,5,FAUX,189,106.75,44489.37,168
982.0910612,34201,S50,A4,A4,5,10mo,10mo,7.35,5,FAUX,197,137.24,44489.61,78
982.0910612,34430,S51,A4,A4,5,10mo,10mo,7.35,5,FAUX,239,215.31,44489.61,81
982.0910612,34035,S49,A4,A4,5,3mo,10mo,7.35,5,FAUX,228,215.28,44489.6,74
982.0910612,34348,S24,A2,B1,5,10mo,24h,7.75,7.5,VRAI,216,168.24,44489.48,107
982.0910612,34156,S23,B1,B1,7.5,10mo,10mo,7.75,7.5,FAUX,211,159.46,44489.48,116
982.0910612,33707,S19,B1,B1,7.5,3mo,3mo,7.75,7.5,FAUX,183,103.64,44489.46,103
982.0910612,33781,S21,A2,B1,5,3mo,24h,7.75,7.5,VRAI,195,114.7,44489.47,106
982.0910612,34374,S20,A2,B1,5,10mo,24h,7.75,7.5,VRAI,220,189.98,44489.47,95
982.0910612,34039,S22,B1,B1,7.5,10mo,10mo,7.75,7.5,FAUX,234,214.3,44489.47,102
982.0910612,34325,S59,B2,B2,7.5,3mo,3mo,7.35,7.5,FAUX,254,276.52,44489.64,112
982.0910612,33846,S58,B2,B2,7.5,10mo,10mo,7.35,7.5,FAUX,210,150.86,44489.64,88
982.0910612,34354,S60,B2,B2,7.5,3mo,3mo,7.35,7.5,FAUX,233,232.3,44489.64,101
982.0910612,33704,S56,B3,B3,7.5,10mo,10mo,7.35,7.5,FAUX,215,159.84,44489.63,85
982.0910612,33932,S57,B3,B3,7.5,10mo,10mo,7.35,7.5,FAUX,187,118.82,44489.63,92
982.0910612,33755,S55,B3,B3,7.5,3mo,3mo,7.35,7.5,FAUX,201,136.11,44489.62,84
982.0910612,34024,S13,A3,B4,5,3mo,24h,7.75,7.5,VRAI,228,191.25,44489.44,81
982.0910612,34045,S15,B4,B4,7.5,3mo,3mo,7.75,7.5,FAUX,244,260.22,44489.44,94
982.0910612,33973,S14,A3,B4,5,10mo,24h,7.75,7.5,VRAI,263,321.86,44489.44,91
982.0910612,33956,S18,B4,B4,7.5,3mo,3mo,7.75,7.5,FAUX,234,214.25,44489.46,123
982.0910612,34448,S17,A3,B4,5,3mo,24h,7.75,7.5,VRAI,208,146.03,44489.45,88
982.0910612,33861,S16,B4,B4,7.5,3mo,3mo,7.75,7.5,FAUX,250,296.84,44489.45,112
982.0910612,34096,S66,C1,C1,2.5,3mo,3mo,7.35,2.5,FAUX,196,136.95,44489.66,75
982.0910612,34177,S65,C1,C1,2.5,3mo,3mo,7.35,2.5,FAUX,242,251.4,44489.66,74
982.0910612,34242,S64,C1,C1,2.5,3mo,3mo,7.35,2.5,FAUX,243,241.15,44489.66,78
982.0910612,34328,S62,C2,C2,2.5,10mo,10mo,7.35,2.5,FAUX,212,171.87,44489.65,67
982.0910612,34276,S63,C2,C2,2.5,10mo,10mo,7.35,2.5,FAUX,220,197.43,44489.65,93
982.0910612,34040,S61,C2,C2,2.5,10mo,10mo,7.35,2.5,FAUX,196,130.04,44489.65,81
982.0910612,34236,S34,A2,C3,5,10mo,24h,7.75,2.5,VRAI,209,145.03,44489.55,82
982.0910612,34353,S33,C3,C3,2.5,3mo,3mo,7.75,2.5,FAUX,246,259.47,44489.55,87
982.0910612,34423,S35,A2,C3,5,3mo,24h,7.75,2.5,VRAI,231,195.54,44489.55,92
982.0910612,34191,S32,C3,C3,2.5,10mo,10mo,7.75,2.5,FAUX,212,186.66,44489.54,81
982.0910612,34125,S31,A2,C3,5,3mo,24h,7.75,2.5,VRAI,217,161.2,44489.54,101
982.0910612,34436,S36,C3,C3,2.5,10mo,10mo,7.75,2.5,FAUX,215,178.47,44489.56,81
982.0910612,34291,S28,C4,C4,2.5,10mo,24h,7.75,2.5,VRAI,219,184.6,44489.53,125
982.0910612,34377,S25,C4,C4,2.5,10mo,10mo,7.75,2.5,FAUX,199,136.21,44489.49,115
982.0910612,33723,S30,A3,C4,5,10mo,24h,7.75,2.5,VRAI,203,140.97,44489.54,96
982.0910612,33909,S27,A3,C4,5,10mo,24h,7.75,2.5,VRAI,230,199.69,44489.49,121
982.0910612,34323,S29,C4,C4,2.5,10mo,10mo,7.75,2.5,FAUX,139,136.1,44489.53,94
982.0910612,34289,S26,A3,C4,5,10mo,24h,7.75,2.5,VRAI,219,177.66,44489.49,98
982.0910612,33777,S45,B1,D1,7.5,10mo,24h,7.75,10,VRAI,190,118.69,44489.59,92
982.0910612,34175,S43,B1,D1,7.5,3mo,24h,7.75,10,VRAI,254,283.61,44489.58,69
982.0910612,34439,S46,B1,D1,7.5,10mo,24h,7.75,10,VRAI,216,172.87,44489.59,89
982.0910612,34534,S44,D1,D1,10,3mo,3mo,7.75,10,FAUX,206,156.28,44489.58,75
982.0910612,34313,S71,D2,D2,10,10mo,10mo,7.35,10,FAUX,210,170.29,44489.68,77
982.0910612,34345,S70,D2,D2,10,3mo,3mo,7.35,10,FAUX,213,161.93,44489.68,79
982.0910612,33927,S72,D2,D2,10,3mo,3mo,7.35,10,FAUX,206,122.02,44489.68,87
982.0910612,34038,S41,B4,D3,7.5,3mo,24h,7.75,10,VRAI,180,108.84,44489.58,97
982.0910612,34138,S39,D3,D3,10,10mo,10mo,7.75,10,FAUX,216,174.43,44489.57,89
982.0910612,34542,S40,D3,D3,10,3mo,3mo,7.75,10,FAUX,235,221.53,44489.57,72
982.0910612,33900,S37,B4,D3,7.5,10mo,24h,7.75,10,VRAI,207,153.36,44489.56,76
982.0910612,34286,S38,B4,D3,7.5,3mo,24h,7.75,10,VRAI,197,142.41,44489.57,81
982.0910612,34187,S68,D4,D4,10,3mo,3mo,7.35,10,FAUX,234,213.67,44489.67,82
982.0910612,34517,S69,D4,D4,10,3mo,3mo,7.35,10,FAUX,214,158.01,44489.67,87
982.0910612,34254,S67,D4,D4,10,10mo,10mo,7.35,10,FAUX,214,180.46,44489.67,72
982.0910612,33674,S48,D1,D1,10,3mo,3mo,7.75,10,FAUX,242,245.65,44494.35,99
982.0910612,34482,S47,D1,D1,10,3mo,3mo,7.75,10,FAUX,225,206.77,44494.35,100
982.0910612,33950,S42,D3,D3,10,10mo,10mo,7.75,10,FAUX,238,229.58,44494.34,141
